Time, Loudness
0,0019605,0
2,1071322,2,976469
4,1165168,4,067635
6,1177167,0,05201357
8,1179889,0,06046863
10,1279381,0,08846065
12,1275844,0,1053076
14,1290379,0,05760911
34,4194661,0,03526538
