Time, Loudness
0,0020019,0
2,1094034,0,0305013
4,1117501,0,05194462
6,1136418,0,02218799
8,1135581,0,03337885
10,1161684,0,03296078
12,1255783,0,04714255
14,1278225,0,06962149
16,1292464,0,08904822
18,1334242,0,02890192
20,1443279,0,06822517
22,156424,0,04692148
24,1585726,0,04157557
