Time, Loudness
0.002209,0
2.80506,0.02867672
4.80878,0.01582192
6.813204,0.07178451
8.81696,0.005352643
10.825472,0.004922747
12.829618,0.00397023
14.833078,0.004475992
16.841646,0.007299828
18.845501,0.008892981
20.845838,2.133836
22.849605,2.954613
24.853309,2.625622
26.853548,7.237179
28.857966,0.0125429
30.86179,19.30156
32.866025,0.005428511
