Time, Loudness
0,0019525,0
2,5639118,0,04820406
4,5641841,0,05284528
6,5645965,0,0598263
8,5677375,4,713746
10,5697444,0,04112405
12,5733663,1,91105
14,5865439,0,05510085
16,5848589,0,04582367
18,5879485,0,2804373
20,5899832,0,05871248
22,5910535,0,05917408
24,5938056,0,05777966
