Time, Loudness
0,0019958,0
2,3050948,0,03157433
4,3072167,0,7323509
6,3071094,0,03088041
8,3076433,0,7447528
10,3100948,0,01589786
12,3260115,0,02304807
14,3404717,0,01652739
16,3425878,0,01301614
