Time, Loudness
0,0019969,0
2,1008614,0,03572498
4,1012617,0,6812785
6,1022151,0,03375004
8,1041604,2,673511E-05
10,1052476,0,09854279
12,1158342,0,08468551
14,1184843,0,07228936
