Time, Loudness
0,0039942,0
2,4074624,0,02005302
4,4245967,0,2158165
6,4399683,1,359894
8,4563958,0,01486743
10,4567294,0,01588575
12,4580376,0,01564531
14,4643975,0,01382122
16,4700993,0,07794318
18,4873027,0,0290885
20,500006,0,01948445
22,5115462,0,02819374
24,5278058,0,02585407
26,528614,0,0152964
28,5355321,0,08686929
30,5488999,0,01397985
32,5528325,0,01708949
34,5689932,0,02176021
36,5861875,0,02020946
39,8384247,0,01236923
41,8400306,0,08151006
43,840978,0,01734581
45,8452632,0,01828061
47,8562055,0,01736725
49,8570964,0,03671663
51,8591554,0,01385505
53,8609607,0,04770184
55,8767785,1,484697
57,8779474,0,01674293
