Time, Loudness
0,0038764,0
2,3510903,0,3610233
4,3514881,0,0611239
6,3516726,0,02943881
8,3722912,0,02391596
10,3847171,0,09953336
12,4010696,0,02607382
14,4028581,0,0208462
16,4209739,0,201219
21,2155556,0,01492952
