Time, Loudness
0,0040284,0
2,3474071,0,3727393
4,3489527,0,03318589
6,3650623,0,03022152
8,3658422,0,05922347
10,3658868,0,0191352
12,3669778,0,0166682
14,3820041,0,01817697
16,3878135,0,04096706
18,4030809,0,02547505
20,404986,0,03734384
22,4050862,0,01581687
24,4219033,0,01919956
26,4378107,0,0138627
28,4542261,0,01796748
30,4549892,0,01686854
32,4555033,0,1163954
34,4648528,0,01679358
36,4808626,0,01486627
38,4810668,0,03764131
40,4812419,0,01287246
42,4978343,0,02205293
44,5118556,0,0156467
46,5138243,0,06531374
48,5307192,0,0188393
50,546852,0,1032204
52,5476808,0,07174482
54,5478364,0,01432514
56,5640377,0,01435982
58,5793343,0,01766432
60,5950411,0,02468202
62,59597,0,01102828
64,5978136,0,01111857
66,6140073,0,04485502
68,6291148,0,0184497
