Time, Loudness
0,0039758,0
2,2649448,0,01534901
4,2662947,0,01877002
6,2666002,0,129713
8,284257,0,7950872
10,2835858,0,0519524
12,3000279,0,01929094
14,3158588,0,01792454
16,3156808,0,01654225
